info,
sampleRate, 100,
aRange, 2,
gRange, 250,
start,150,
stop,382,
ax,-0.005417635608277571,-0.002732088733277571,0.0004417393917224288,-0.0010231043582775712,0.007765958141722429,-0.002732088733277571,0.0011741612667224288,0.005080411266722429,-0.0007789637332775712,0.0019065831417224288,0.0019065831417224288,0.002883145641722429,0.0009300206417224288,-0.0012672449832775712,0.0019065831417224288,0.0006858800167224288,-0.007126619983277571,-0.0005348231082775712,-0.0007789637332775712,-0.002732088733277571,-0.0017555262332775712,-0.002976229358277571,-0.005661776233277571,-0.005661776233277571,-0.005417635608277571,-0.0002906824832775712,0.003127286266722429,0.0016624425167224288,-0.0005348231082775712,0.0004417393917224288,0.003371426891722429,0.0014183018917224288,-0.006150057483277571,0.005568692516722429,-0.003708651233277571,0.004592130016722429,0.005080411266722429,0.0004417393917224288,-0.003464510608277571,-0.004929354358277571,0.0019065831417224288,0.0019065831417224288,0.003371426891722429,0.002150723766722429,0.004592130016722429,-0.0012672449832775712,0.002639005016722429,-0.0017555262332775712,0.002639005016722429,-0.0012672449832775712,0.0019065831417224288,-0.003708651233277571,-0.001999666858277571,-0.0005348231082775712,-0.004685213733277571,-4.654185827757118e-05,-0.0012672449832775712,0.004347989391722429,0.003127286266722429,0.0004417393917224288,0.002394864391722429,0.003615567516722429,-0.0007789637332775712,0.002639005016722429,-0.0007789637332775712,0.0009300206417224288,-0.007126619983277571,-0.001999666858277571,-0.0007789637332775712,-0.0005348231082775712,0.004103848766722429,0.002639005016722429,0.0014183018917224288,0.006789395641722429,0.0019065831417224288,-0.003464510608277571,0.0016624425167224288,-0.0015113856082775712,0.004103848766722429,0.003127286266722429,-0.0007789637332775712,-0.002487948108277571,-0.0007789637332775712,-0.0017555262332775712,-0.002243807483277571,0.002639005016722429,-0.001999666858277571,-4.654185827757118e-05,-0.002487948108277571,-0.0002906824832775712,-0.0007789637332775712,-0.0002906824832775712,-0.003952791858277571,0.003615567516722429,-4.654185827757118e-05,0.0006858800167224288,-0.004441073108277571,0.002150723766722429,-0.003952791858277571,0.0016624425167224288,0.0016624425167224288,0.0011741612667224288,0.006545255016722429,-0.001999666858277571,-0.005173494983277571,-0.005661776233277571,-0.0007789637332775712,0.0011741612667224288,0.0016624425167224288,0.003859708141722429,0.002150723766722429,0.003371426891722429,0.006056973766722429,-0.0010231043582775712,-0.0007789637332775712,0.0009300206417224288,0.0019065831417224288,-0.002976229358277571,-0.008347323108277571,-0.003952791858277571,-0.002732088733277571,-0.010544588733277571,0.0016624425167224288,-0.0005348231082775712,0.0009300206417224288,-0.004929354358277571,-0.0005348231082775712,0.0019065831417224288,0.002639005016722429,-0.0005348231082775712,-0.005173494983277571,-0.0007789637332775712,-0.001999666858277571,0.0011741612667224288,0.0019065831417224288,0.007277676891722429,-0.005661776233277571,-0.004441073108277571,0.0009300206417224288,0.0014183018917224288,-0.003464510608277571,0.0006858800167224288,-0.001999666858277571,-0.0012672449832775712,0.0004417393917224288,0.00019759876672242882,0.006545255016722429,0.0014183018917224288,0.0014183018917224288,0.011183926891722429,-0.013474276233277571,-4.654185827757118e-05,-0.005661776233277571,-0.003708651233277571,0.015578458141722429,0.003371426891722429,-0.002487948108277571,-0.002976229358277571,-0.0002906824832775712,0.013137051891722429,-0.006882479358277571,-0.003464510608277571,-4.654185827757118e-05,0.008254239391722429,0.008986661266722429,0.00019759876672242882,-0.0015113856082775712,-0.002976229358277571,0.002150723766722429,0.010695645641722429,0.009719083141722429,0.0009300206417224288,0.002883145641722429,0.004836270641722429,0.007033536266722429,0.004103848766722429,0.005080411266722429,0.0011741612667224288,0.002150723766722429,-0.001999666858277571,0.006301114391722429,-0.002243807483277571,-0.002732088733277571,0.006056973766722429,0.0004417393917224288,0.003615567516722429,0.00019759876672242882,-0.0017555262332775712,0.0009300206417224288,0.003371426891722429,-0.001999666858277571,0.006789395641722429,0.0004417393917224288,-0.004441073108277571,0.0009300206417224288,0.004103848766722429,-0.003464510608277571,0.0016624425167224288,0.007765958141722429,0.003371426891722429,0.0006858800167224288,0.003371426891722429,0.0011741612667224288,0.002394864391722429,0.0016624425167224288,-0.003220369983277571,0.006056973766722429,0.0019065831417224288,-0.003952791858277571,-0.0010231043582775712,-0.0010231043582775712,0.0016624425167224288,0.005080411266722429,0.005324551891722429,0.0019065831417224288,0.002150723766722429,0.002394864391722429,0.00019759876672242882,-0.005661776233277571,-4.654185827757118e-05,-0.003708651233277571,-0.003220369983277571,0.0016624425167224288,0.002150723766722429,-0.002243807483277571,-0.001999666858277571,-0.003952791858277571,-0.004685213733277571,-0.001999666858277571,0.0009300206417224288,-0.0010231043582775712,-0.0017555262332775712,0.0014183018917224288,-0.001999666858277571,-0.005417635608277571,0.0014183018917224288,-0.003952791858277571,0.0004417393917224288,-0.003220369983277571,-0.0005348231082775712,0.004836270641722429,-0.004196932483277571,-0.002487948108277571,-0.0002906824832775712,0.002639005016722429,-0.003708651233277571,0.0019065831417224288,0.004347989391722429,-0.0007789637332775712,-0.0007789637332775712,0.002150723766722429,0.0006858800167224288,-0.007126619983277571,-0.003220369983277571,0.002639005016722429,0.0016624425167224288,-0.0002906824832775712,-0.003708651233277571,0.008010098766722429,0.002639005016722429,0.002883145641722429,0.003371426891722429,-0.001999666858277571,0.0016624425167224288,0.002150723766722429,-0.005905916858277571,-0.003952791858277571,0.005812833141722429,-0.004685213733277571,-0.004441073108277571,0.00019759876672242882,0.003859708141722429,-0.004929354358277571,0.0016624425167224288,0.003127286266722429,0.00019759876672242882,-0.0017555262332775712,-0.0002906824832775712,0.002150723766722429,-0.0010231043582775712,0.004347989391722429,-0.005661776233277571,0.00019759876672242882,-0.0005348231082775712,0.002883145641722429,-0.004685213733277571,-0.003952791858277571,0.007765958141722429,-0.0002906824832775712,0.0019065831417224288,-0.004929354358277571,0.0009300206417224288,0.004592130016722429,-0.0012672449832775712,-0.0015113856082775712,0.005080411266722429,0.002394864391722429,0.002394864391722429,-0.006882479358277571,0.002150723766722429,0.003371426891722429,-0.0010231043582775712,0.002639005016722429,0.002394864391722429,0.0016624425167224288,-4.654185827757118e-05,-0.003952791858277571,-0.004196932483277571,-0.005173494983277571,0.003859708141722429,0.005324551891722429,0.0016624425167224288,-0.006150057483277571,0.0014183018917224288,0.002639005016722429,0.0016624425167224288,-4.654185827757118e-05,-0.008347323108277571,0.0004417393917224288,-0.002732088733277571,0.003371426891722429,0.0016624425167224288,-0.004685213733277571,-0.004196932483277571,0.0009300206417224288,-0.004196932483277571,0.003371426891722429,-0.003464510608277571,0.005324551891722429,-0.003464510608277571,-0.0005348231082775712,-0.004196932483277571,0.002394864391722429,-0.002487948108277571,-0.006882479358277571,0.0006858800167224288,0.0011741612667224288,-0.005661776233277571,-0.0012672449832775712,0.003127286266722429,0.004592130016722429,-0.010056307483277571,0.0006858800167224288,0.002639005016722429,0.005324551891722429,-0.0012672449832775712,-0.007370760608277571,0.004347989391722429,-0.002487948108277571,-0.005905916858277571,-0.003464510608277571,0.002394864391722429,0.002394864391722429,-0.009079744983277571,-0.0012672449832775712,0.0011741612667224288,0.002639005016722429,-0.005661776233277571,-0.0017555262332775712,0.0016624425167224288,0.005568692516722429,-0.005173494983277571,0.005080411266722429,-0.0010231043582775712,-0.0015113856082775712,0.010207364391722429,0.007765958141722429,0.006545255016722429,-0.0010231043582775712,0.003127286266722429,-0.001999666858277571,-0.002487948108277571,-0.003708651233277571,-0.006882479358277571,-0.005173494983277571,0.005568692516722429,0.007277676891722429,0.008010098766722429,0.006056973766722429,0.01728744251672243,0.02021713001672243,-0.03031997935827757,-0.03349380748327757,-0.013230135608277571,-0.0012672449832775712,-0.003708651233277571,-0.009323885608277571,-0.008103182483277571,-0.0002906824832775712,0.00019759876672242882,-0.004929354358277571,0.003615567516722429,0.002150723766722429,0.0004417393917224288,0.002883145641722429,-0.0002906824832775712,-0.0005348231082775712,0.00019759876672242882,-0.0010231043582775712,0.002394864391722429,-0.0010231043582775712,0.006545255016722429,0.0019065831417224288,-0.002243807483277571,-0.0017555262332775712,-0.0002906824832775712,0.004836270641722429,-0.001999666858277571,0.003127286266722429,-0.0017555262332775712,0.003859708141722429,0.004592130016722429,-0.0005348231082775712,0.0009300206417224288,0.005324551891722429,0.006545255016722429,0.003859708141722429,-0.003464510608277571,-0.0005348231082775712,-0.002487948108277571,0.00019759876672242882,-0.0005348231082775712,0.0019065831417224288,-0.0005348231082775712,0.004836270641722429,-0.0017555262332775712,-0.0002906824832775712,0.0016624425167224288,0.0004417393917224288,0.0004417393917224288,0.002639005016722429,-0.0002906824832775712,
ay,-0.018710643551421404,-0.019687206051421404,-0.010654002926421404,-0.010898143551421404,-0.013827831051421404,-0.007480174801421404,-0.007968456051421404,-0.003329784176421404,-0.006015331051421404,-0.010898143551421404,-0.008212596676421404,-0.010409862301421404,-0.005771190426421404,-0.008456737301421404,-0.003085643551421404,-0.007968456051421404,-0.001376659176421404,-0.003818065426421404,-0.006991893551421404,-0.004550487301421404,-0.002353221676421404,-0.001620799801421404,0.001064747073578596,0.004238575198578596,-0.005038768551421404,0.002041309573578596,-0.003573924801421404,-0.006259471676421404,0.001553028323578596,-0.0001559560514214041,0.003262012698578596,-0.001620799801421404,0.007900684573578596,0.0005764658235785959,0.003506153323578596,-0.003085643551421404,-0.002597362301421404,0.001064747073578596,0.002773731448578596,-0.001620799801421404,0.005215137698578596,0.008877247073578596,0.004482715823578596,-0.006991893551421404,0.002773731448578596,0.004238575198578596,0.001553028323578596,-0.0001559560514214041,0.0003323251985785959,0.004238575198578596,0.005703418948578596,-0.003573924801421404,0.001553028323578596,0.0005764658235785959,0.0005764658235785959,0.002773731448578596,-0.003085643551421404,0.0005764658235785959,-0.001376659176421404,-0.001132518551421404,0.004726856448578596,-0.004306346676421404,0.003017872073578596,0.001553028323578596,0.001308887698578596,-0.0008883779264214041,0.001797168948578596,0.001308887698578596,-0.001376659176421404,0.003017872073578596,-0.0008883779264214041,0.004238575198578596,-0.001132518551421404,0.0005764658235785959,0.0008206064485785959,-0.0006442373014214041,0.001064747073578596,0.0008206064485785959,0.002285450198578596,0.0003323251985785959,-0.0008883779264214041,0.004238575198578596,0.004482715823578596,-0.002353221676421404,0.002285450198578596,-0.001864940426421404,8.818457357859591e-05,-0.0004000966764214041,0.002041309573578596,-0.002353221676421404,0.002529590823578596,0.005459278323578596,-0.0006442373014214041,0.003750293948578596,-0.004550487301421404,-0.005527049801421404,-0.001864940426421404,0.001308887698578596,-0.005771190426421404,0.007168262698578596,-0.0008883779264214041,-0.0001559560514214041,-0.0008883779264214041,0.003994434573578596,-0.004794627926421404,0.004482715823578596,-0.004550487301421404,0.005703418948578596,-0.004550487301421404,0.001553028323578596,-0.005771190426421404,-0.003329784176421404,0.001797168948578596,-0.001376659176421404,0.003262012698578596,0.003017872073578596,-0.003085643551421404,0.004238575198578596,0.001064747073578596,0.0005764658235785959,0.001064747073578596,-0.005771190426421404,0.003994434573578596,-0.0006442373014214041,-0.001132518551421404,0.0003323251985785959,0.002041309573578596,-0.0008883779264214041,0.003750293948578596,0.005459278323578596,-0.001132518551421404,-0.0004000966764214041,-0.005527049801421404,0.002285450198578596,0.0005764658235785959,0.0005764658235785959,-0.001864940426421404,0.003506153323578596,-0.001864940426421404,-0.0004000966764214041,-0.004062206051421404,-0.002353221676421404,-0.001376659176421404,0.0003323251985785959,0.001064747073578596,-0.001376659176421404,0.004970997073578596,0.001308887698578596,0.002529590823578596,0.013271778323578596,-0.009921581051421404,-0.011874706051421404,-0.019687206051421404,-0.012851268551421404,-0.011874706051421404,-0.003573924801421404,-0.008700877926421404,-0.009921581051421404,-0.019687206051421404,-0.018466502926421404,-0.028964549801421404,-0.028964549801421404,-0.030185252926421404,-0.03580048730142141,-0.04068329980142141,-0.05118134667642141,-0.05826142480142141,-0.06045869042642141,-0.06241181542642141,-0.06680634667642141,-0.07608369042642141,-0.08609345605142141,-0.08487275292642141,-0.09146454980142141,-0.09048798730142141,-0.09488251855142141,-0.10074189355142141,-0.11514619042642141,-0.11734345605142141,-0.11758759667642141,-0.12002900292642141,-0.12417939355142141,-0.1295504873014214,-0.1410250966764214,-0.1417575185514214,-0.1456637685514214,-0.1446872060514214,-0.1456637685514214,-0.1532321279264214,-0.1544528310514214,-0.1529879873014214,-0.1620211904264214,-0.1634860341764214,-0.1622653310514214,-0.1695895498014214,-0.1617770498014214,-0.1683688466764214,-0.1654391591764214,-0.1647067373014214,-0.1642184560514214,-0.1698336904264214,-0.1642184560514214,-0.1649508779264214,-0.1620211904264214,-0.1651950185514214,-0.1676364248014214,-0.1632418935514214,-0.1651950185514214,-0.1620211904264214,-0.1588473623014214,-0.1551852529264214,-0.1612887685514214,-0.1578707998014214,-0.1561618154264214,-0.1622653310514214,-0.1551852529264214,-0.1564059560514214,-0.1559176748014214,-0.1571383779264214,-0.1500582998014214,-0.1400485341764214,-0.1532321279264214,-0.1410250966764214,-0.1398043935514214,-0.1417575185514214,-0.1468844716764214,-0.1424899404264214,-0.1393161123014214,-0.1361422841764214,-0.1346774404264214,-0.1310153310514214,-0.1288180654264214,-0.1295504873014214,-0.1278415029264214,-0.1266207998014214,-0.11392548730142141,-0.11294892480142141,-0.11026337792642141,-0.11514619042642141,-0.10269501855142141,-0.11368134667642141,-0.10391572167642141,-0.09707978417642141,-0.09659150292642141,-0.10049775292642141,-0.08804658105142141,-0.08780244042642141,-0.09097626855142141,-0.09390595605142141,-0.08658173730142141,-0.09146454980142141,-0.08462861230142141,-0.08389619042642141,-0.08047822167642141,-0.08194306542642141,-0.07535126855142141,-0.07803681542642141,-0.07950165917642141,-0.07437470605142141,-0.07144501855142141,-0.06973603417642141,-0.05899384667642141,-0.06265595605142141,-0.06021454980142141,-0.05313447167642141,-0.05557587792642141,-0.05313447167642141,-0.04581025292642141,-0.04825165917642141,-0.04849579980142141,-0.04507783105142141,-0.03457978417642141,-0.04214814355142141,-0.03726533105142141,-0.03580048730142141,-0.04361298730142141,-0.03555634667642141,-0.03311494042642141,-0.030185252926421404,-0.028476268551421404,-0.022128612301421404,-0.025546581051421404,-0.03165009667642141,-0.029452831051421404,-0.028476268551421404,-0.022372752926421404,-0.03189423730142141,-0.015048534176421404,-0.012607127926421404,-0.025058299801421404,-0.016757518551421404,-0.010654002926421404,-0.012362987301421404,-0.014071971676421404,-0.024570018551421404,-0.013827831051421404,-0.007480174801421404,-0.013339549801421404,-0.017245799801421404,-0.007480174801421404,-0.015292674801421404,-0.012362987301421404,-0.008456737301421404,-0.010409862301421404,-0.008700877926421404,-0.016269237301421404,-0.010409862301421404,-0.010654002926421404,-0.011630565426421404,-0.010165721676421404,-0.011630565426421404,-0.009921581051421404,-0.010165721676421404,-0.011630565426421404,-0.003085643551421404,-0.009921581051421404,-0.009189159176421404,-0.014316112301421404,-0.006015331051421404,-0.006747752926421404,-0.009677440426421404,-0.008212596676421404,-0.008212596676421404,-0.009433299801421404,-0.007480174801421404,-0.008212596676421404,-0.008212596676421404,-0.008212596676421404,-0.007968456051421404,-0.009921581051421404,-0.024814159176421404,-0.013339549801421404,-0.005527049801421404,-0.002353221676421404,-0.007968456051421404,-0.005527049801421404,-0.006259471676421404,-0.017489940426421404,-0.010654002926421404,-0.010165721676421404,-0.004062206051421404,-0.008945018551421404,-0.011142284176421404,-0.006747752926421404,-0.006991893551421404,-0.009189159176421404,-0.009189159176421404,-0.002109081051421404,-0.004550487301421404,-0.004306346676421404,0.001308887698578596,0.007412403323578596,0.006191700198578596,-0.0006442373014214041,-0.002109081051421404,-0.004306346676421404,0.0003323251985785959,-0.003818065426421404,-0.008212596676421404,-0.016025096676421404,-0.0006442373014214041,0.013760059573578596,-0.013827831051421404,-0.016269237301421404,8.818457357859591e-05,-0.010409862301421404,-0.010654002926421404,-0.003329784176421404,-0.014804393551421404,-0.007968456051421404,-0.002353221676421404,-0.021640331051421404,0.0003323251985785959,0.005459278323578596,0.003994434573578596,0.001797168948578596,0.015469043948578596,0.010342090823578596,0.023281543948578596,-0.016269237301421404,-0.003085643551421404,0.006191700198578596,0.03402373144857859,0.005215137698578596,0.005459278323578596,0.006679981448578596,0.006191700198578596,0.005703418948578596,-0.004306346676421404,0.004482715823578596,0.0005764658235785959,0.001553028323578596,-0.002841502926421404,-0.0006442373014214041,-0.006015331051421404,-0.0008883779264214041,0.0005764658235785959,-0.004794627926421404,-0.003573924801421404,-0.004062206051421404,-0.0004000966764214041,-0.0006442373014214041,0.003017872073578596,0.0003323251985785959,-0.002597362301421404,0.004726856448578596,-0.001620799801421404,8.818457357859591e-05,0.0008206064485785959,0.001553028323578596,0.001064747073578596,0.001308887698578596,0.003750293948578596,0.003262012698578596,0.002041309573578596,-0.0006442373014214041,-0.001620799801421404,-0.001620799801421404,0.002773731448578596,-0.0004000966764214041,-0.003329784176421404,-0.003085643551421404,0.001797168948578596,8.818457357859591e-05,0.003262012698578596,0.003017872073578596,0.001553028323578596,-0.002597362301421404,0.001064747073578596,-0.002597362301421404,0.0005764658235785959,8.818457357859591e-05,
az,-0.13502691262541805,-0.11476324075041806,-0.12086675637541806,-0.14430425637541805,-0.14015386575041805,-0.12648199075041805,-0.12208745950041806,-0.12526128762541805,-0.13331792825041805,-0.14332769387541805,-0.13429449075041805,-0.12379644387541806,-0.13014410012541805,-0.13722417825041805,-0.11549566262541806,-0.11891363137541806,-0.12281988137541806,-0.10621831887541806,-0.10597417825041806,-0.09010503762541806,-0.09156988137541806,-0.07643316262541806,-0.07692144387541806,-0.06935308450041806,-0.07765386575041806,-0.07399175637541806,-0.06251714700041806,-0.056413631375418063,-0.049821834500418063,-0.056657772000418063,-0.046648006375418063,-0.036882381375418063,-0.030778865750418063,-0.025163631375418063,-0.021013240750418063,-0.024187068875418063,-0.022722225125418063,-0.024431209500418063,-0.020280818875418063,-0.017106990750418063,-0.012224178250418063,-0.017595272000418063,-0.0044116782504180635,-0.008806209500418063,-0.0066089438754180635,0.0036449623745819365,-0.0036792563754180635,0.0007152748745819365,0.0019359779995819365,0.008771915499581937,0.011945743624581937,-0.0022144126254180635,0.0016918373745819365,0.0068187904995819365,0.0060863686245819365,-0.0017261313754180635,-0.0056323813754180635,0.0014476967495819365,-0.015398006375418063,0.0009594154995819365,0.0060863686245819365,-0.0002612876254180635,-0.0027026938754180635,0.0055980873745819365,0.0019359779995819365,0.0026683998745819365,0.0026683998745819365,0.0038891029995819365,0.0014476967495819365,0.0031566811245819365,-0.0012378501254180635,-0.0012378501254180635,-0.0009937095004180635,-0.0061206626254180635,0.0063305092495819365,0.0004711342495819365,0.0051098061245819365,0.0077953529995819365,-0.0029468345004180635,0.011457462374581937,-0.0051441001254180635,0.016096134249581937,-0.0056323813754180635,0.0065746498745819365,0.0063305092495819365,0.0036449623745819365,0.011457462374581937,0.009260196749581937,0.0014476967495819365,0.0014476967495819365,0.0053539467495819365,0.0051098061245819365,0.0036449623745819365,0.0055980873745819365,0.010480899874581937,0.0031566811245819365,-1.7147000418063496e-05,0.0029125404995819365,0.0055980873745819365,0.0031566811245819365,0.0007152748745819365,0.0051098061245819365,0.008527774874581937,0.0021801186245819365,0.0063305092495819365,0.0058422279995819365,-0.0048999595004180635,0.0014476967495819365,0.0073070717495819365,0.0007152748745819365,0.0034008217495819365,0.0029125404995819365,-0.0009937095004180635,0.0016918373745819365,0.0016918373745819365,0.0009594154995819365,0.0024242592495819365,0.0048656654995819365,0.009016056124581937,0.011457462374581937,0.0036449623745819365,-0.0017261313754180635,0.008039493624581937,0.0021801186245819365,0.0004711342495819365,0.0029125404995819365,0.0051098061245819365,-0.0014819907504180635,0.012678165499581937,0.009992618624581937,0.008039493624581937,-0.0034351157504180635,0.011213321749581937,-0.0029468345004180635,0.0024242592495819365,-0.017351131375418063,0.0026683998745819365,0.0038891029995819365,0.0016918373745819365,0.008039493624581937,-0.0027026938754180635,-0.0070972251254180635,0.0016918373745819365,-0.008317928250418063,-0.0029468345004180635,0.0019359779995819365,0.0026683998745819365,-0.057878475125418063,-0.052019100125418063,-0.06276128762541806,-0.21925542825041805,-0.18824956887541805,-0.25709722512541805,-0.30153081887541805,-0.30861089700041805,-0.42286870950041805,-0.40016363137541805,-0.43434331887541805,-0.38478277200041805,-0.38624761575041805,-0.44777105325041805,-0.42384527200041805,-0.41359136575041805,-0.36866949075041805,-0.33326910012541805,-0.38917730325041805,-0.38746831887541805,-0.37208745950041805,-0.32863042825041805,-0.30787847512541805,-0.31373785012541805,-0.30714605325041805,-0.31398199075041805,-0.28492925637541805,-0.25367925637541805,-0.25709722512541805,-0.24489019387541805,-0.25758550637541805,-0.23219488137541805,-0.19215581887541805,-0.17970464700041805,-0.18409917825041805,-0.18385503762541805,-0.16896245950041805,-0.14161870950041805,-0.13258550637541805,-0.13527105325041805,-0.13356206887541805,-0.10841558450041806,-0.08131597512541806,-0.07252691262541806,-0.06837652200041806,-0.062028865750418063,-0.057390193875418063,-0.040544490750418063,-0.031023006375418063,-0.020280818875418063,-0.0019702720004180635,-0.015642147000418063,-0.0053882407504180635,-0.0012378501254180635,0.0065746498745819365,0.031965274874581937,0.013654727999581937,0.018537540499581937,0.018293399874581937,0.026350040499581937,0.031721134249581937,0.033430118624581937,0.032453556124581937,0.021223087374581937,0.042463321749581937,0.040754337374581937,0.043684024874581937,0.040998477999581937,0.030500431124581937,0.034894962374581937,0.040510196749581937,0.06590082174958194,0.049055118624581937,0.040510196749581937,0.049055118624581937,0.055646915499581937,0.06297113424958194,0.06541254049958194,0.054914493624581937,0.053937931124581937,0.06443597799958194,0.08323480612458194,0.08201410299958194,0.08836175924958194,0.08762933737458194,0.11277582174958194,0.12864496237458195,0.11741449362458194,0.11692621237458194,0.12522699362458195,0.12620355612458195,0.11424066549958194,0.10325433737458194,0.09959222799958194,0.10374261862458194,0.10593988424958194,0.10545160299958194,0.09983636862458194,0.09348871237458194,0.07395746237458194,0.06345941549958194,0.07053949362458194,0.07298089987458194,0.08714105612458194,0.11204339987458194,0.10789300924958194,0.11546136862458194,0.10545160299958194,0.11448480612458194,0.12718011862458195,0.09641839987458194,0.08396722799958194,0.11204339987458194,0.12376214987458194,0.12888910299958195,0.12180902487458194,0.13279535299958195,0.14378168112458195,0.16062738424958195,0.15305902487458195,0.13865472799958195,0.12669183737458195,0.12498285299958194,0.12888910299958195,0.11375238424958194,0.10349847799958194,0.10252191549958194,0.11375238424958194,0.13816644674958195,0.12791254049958195,0.11643793112458194,0.10911371237458194,0.13084222799958195,0.12718011862458195,0.10667230612458194,0.09153558737458194,0.09837152487458194,0.09715082174958194,0.11521722799958194,0.11887933737458194,0.09055902487458194,0.10593988424958194,0.11179925924958194,0.12278558737458194,0.11277582174958194,0.09080316549958194,0.09251214987458194,0.09300043112458194,0.10667230612458194,0.09007074362458194,0.08469964987458194,0.07200433737458194,0.07029535299958194,0.06760980612458194,0.042707462374581937,0.033185977999581937,0.035383243624581937,0.041975040499581937,0.033430118624581937,0.017805118624581937,0.018049259249581937,0.015607852999581937,0.017316837374581937,0.017560977999581937,0.011945743624581937,0.015851993624581937,0.016828556124581937,0.022932071749581937,0.028547306124581937,0.020246524874581937,0.0077953529995819365,0.026350040499581937,0.023664493624581937,0.020246524874581937,0.021223087374581937,0.019514102999581937,0.013166446749581937,0.011701602999581937,0.0046215248745819365,0.0041332436245819365,-0.010759334500418063,0.008527774874581937,-0.027605037625418063,-0.0005054282504180635,-0.030046443875418063,-0.015153865750418063,-0.019304256375418063,-0.012468318875418063,0.0031566811245819365,-0.008562068875418063,-1.7147000418063496e-05,0.022199649874581937,0.024641056124581937,0.048810977999581937,0.025617618624581937,0.06345941549958194,0.07420160299958194,0.09202386862458194,0.10716058737458194,0.11717035299958194,0.11839105612458194,0.14085199362458195,0.15843011862458195,0.16282464987458195,0.14256097799958195,0.14158441549958195,0.10716058737458194,0.06345941549958194,0.059553165499581937,0.009260196749581937,-0.030290584500418063,-0.039079647000418063,-0.059831600125418063,0.012434024874581937,0.0004711342495819365,-0.033952693875418063,-0.050310115750418063,-0.10402105325041806,-0.07911870950041806,-0.09034917825041806,-0.10792730325041806,-0.12794683450041805,-0.047136287625418063,-0.058122615750418063,0.041242618624581937,0.07273675924958194,0.23777582174958195,0.32639886862458195,0.43284418112458195,0.34080316549958195,0.39182855612458195,0.25730707174958195,0.21165277487458195,0.045637149874581937,-0.23024175637541805,-0.19948003762541805,-0.06422613137541806,0.014387149874581937,0.08323480612458194,0.08225824362458194,0.0026683998745819365,-0.011735897000418063,-0.042741756375418063,-0.06715581887541806,0.0002269936245819365,0.049299259249581937,0.056135196749581937,0.010236759249581937,-0.039812068875418063,-0.025651912625418063,-0.012468318875418063,0.0024242592495819365,0.019025821749581937,0.033430118624581937,0.019514102999581937,-0.014421443875418063,-0.027116756375418063,-0.024675350125418063,0.0055980873745819365,0.0060863686245819365,0.019269962374581937,0.0009594154995819365,-0.0012378501254180635,-0.010759334500418063,-0.0007495688754180635,0.0012035561245819365,0.012189884249581937,0.015607852999581937,0.0055980873745819365,-0.012468318875418063,-0.0073413657504180635,-0.010271053250418063,-0.0017261313754180635,0.0055980873745819365,0.0002269936245819365,0.013166446749581937,0.0024242592495819365,-0.0066089438754180635,-0.0039233970004180635,-0.0009937095004180635,0.008527774874581937,0.0075512123745819365,0.0031566811245819365,0.0014476967495819365,-0.0063648032504180635,
